source,source_geo_id,source_geo_name,source_geo_type,canonical_geo_id,match_method,confidence_score,notes
zillow,394661,"Hammond, LA",msa,metro_25220,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=LA
zillow,753890,"Holland, MI",msa,metro_26090,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=MI
zillow,394406,"Bowling Green, KY",msa,metro_14540,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=KY
zillow,394452,"Centralia, WA",msa,metro_16500,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=WA
zillow,394567,"Ellensburg, WA",msa,metro_21260,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=WA
zillow,395100,"Silver City, NM",msa,metro_43500,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=NM
zillow,395014,"Raymondville, TX",msa,metro_39700,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=TX
zillow,394321,"Altoona, PA",msa,metro_11020,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=PA
zillow,395125,"State College, PA",msa,metro_44300,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=PA
zillow,394505,"Corvallis, OR",msa,metro_18700,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=OR
zillow,753871,"Breckenridge, CO",msa,metro_14720,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=CO
zillow,394726,"Johnson City, TN",msa,metro_27740,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=TN
zillow,394654,"Greenwood, MS",msa,metro_24900,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=MS
zillow,394436,"Campbellsville, KY",msa,metro_15820,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=KY
zillow,395193,"Vineland, NJ",msa,metro_47220,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=NJ
zillow,394917,"Niles, MI",msa,metro_35660,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=MI
zillow,394558,"El Campo, TX",msa,metro_20900,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=TX
zillow,395215,"Wausau, WI",msa,metro_48140,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=WI
zillow,395192,"Vincennes, IN",msa,metro_47180,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=IN
zillow,394763,"Lake Charles, LA",msa,metro_29340,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=LA
zillow,394685,"Homosassa Springs, FL",msa,metro_26140,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=FL
zillow,394945,"Oskaloosa, IA",msa,metro_36820,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=IA
zillow,395043,"Ruston, LA",msa,metro_40820,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=LA
zillow,394715,"Jacksonville, IL",msa,metro_27300,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=IL
zillow,394563,"Elizabethtown, KY",msa,metro_21060,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=KY
zillow,394934,"Okeechobee, FL",msa,metro_36380,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=FL
zillow,394781,"Lebanon, MO",msa,metro_30060,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=MO
zillow,394652,"Greenville, OH",msa,metro_24820,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=OH
zillow,394733,"Kalispell, MT",msa,metro_28060,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=MT
zillow,394961,"Paragould, AR",msa,metro_37500,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=AR
zillow,394306,"Albany, GA",msa,metro_10500,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=GA
zillow,394426,"Burley, ID",msa,metro_15420,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=ID
zillow,394674,"Heber, UT",msa,metro_25720,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=UT
zillow,394810,"Lumberton, NC",msa,metro_31300,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=NC
zillow,395021,"Richmond, IN",msa,metro_39980,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=IN
zillow,394500,"Cornelia, GA",msa,metro_18460,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=GA
zillow,394927,"Ocala, FL",msa,metro_36100,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=FL
zillow,394518,"Danville, VA",msa,metro_19260,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=VA
zillow,394761,"Lafayette, LA",msa,metro_29180,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=LA
zillow,394877,"Morehead City, NC",msa,metro_33980,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=NC
zillow,394626,"Gallup, NM",msa,metro_23700,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=NM
zillow,395191,"Vidalia, GA",msa,metro_47080,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=GA
